"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"89"	"09_A"	80	"31-May-2019 11:23:06"	14504.051	89	15	2	1	"wheel_05"	"2"	31.3187	4540.0868	1	1038.9651	324	14513.6138	23	51	14	18	19	17	15	0	-5	-5
"90"	"09_A"	80	"31-May-2019 11:23:17"	14515.0127	90	15	2	1	"wheel_03"	"2"	45.7875	1467.8785	1	797.1727	90	14521.5121	23	51	14	18	19	17	15	-1.67	-5	-3.33
"91"	"09_A"	80	"31-May-2019 11:23:32"	14529.35	91	16	1	2	"wheel_10"	"3"	44.3223	4311.5803	1	1050.7191	330	14538.7438	23	51	14	18	19	17	15	0.83	0	-0.83
"92"	"09_A"	80	"31-May-2019 11:23:41"	14539.3098	92	16	1	2	"wheel_12"	"1"	64.4689	1547.6595	1	808.5131	90	14545.833	23	51	14	18	19	17	15	1.67	5	3.33
"93"	"09_A"	80	"31-May-2019 11:23:51"	14549.2733	93	16	1	2	"wheel_08"	"1"	73.9927	1819.5148	1	800.5444	72	14556.0934	23	51	14	18	19	17	15	0	5	5
"94"	"09_A"	80	"31-May-2019 11:24:01"	14559.2451	94	16	1	2	"wheel_07"	"3"	54.3956	2521.0829	1	977.0793	270	14566.7439	23	51	14	18	19	17	15	0.83	0	-0.83
"95"	"09_A"	80	"31-May-2019 11:24:11"	14569.2161	95	16	1	2	"wheel_11"	"2"	19.2308	2037.7684	1	830.7127	108	14576.2543	23	51	14	18	19	17	15	2	-5	-7
"96"	"09_A"	80	"31-May-2019 11:24:22"	14580.1882	96	16	1	2	"wheel_01"	"3"	50	397.2507	1	803.5882	72	14585.5587	23	51	14	18	19	17	15	-1	0	1
"97"	"09_A"	80	"31-May-2019 11:24:37"	14594.4706	97	17	2	2	"wheel_10"	"3"	40.1099	2214.0889	1	1042.7413	330	14601.6534	23	51	14	18	19	17	15	0.83	0	-0.83
"98"	"09_A"	80	"31-May-2019 11:24:47"	14604.4318	98	17	2	2	"wheel_11"	"2"	22.3443	2066.5779	1	815.1985	108	14611.489	23	51	14	18	19	17	15	2	-5	-7
